,neg,pos,neut
aa,2,8,13
aac,0,2,0
aacta,0,5,2
aagghh,0,1,0
aah,2,5,2
aahh,1,3,0
aale,1,0,0
aalim,0,0,1
aaliyah,1,9,9
aall,0,2,0
aameen,0,1,0
aami,0,0,1
aamir,0,0,2
aamiri,0,0,1
aamirkhan,0,0,2
aampe,0,0,1
aampm,1,0,0
aampserious,0,0,1
aand,0,2,2
aantayan,0,1,0
aaom,0,0,1
aap,1,0,3
aapl,0,5,0
aaptards,1,0,0
aapwithterrorist,0,0,1
aardwolf,0,1,0
aaron,12,20,33
aaronovitch,0,1,0
aarrgghh,0,1,0
aashiq,0,0,1
aau,0,1,0
aawwh,0,1,0
ab,3,8,12
abandon,3,2,8
abandonment,3,0,0
abang,0,0,1
abarth,0,0,1
abastillas,0,0,1
abba,0,1,1
abbamania,0,0,1
abbas,0,0,1
abbey,5,3,10
abbi,0,1,0
abbott,5,3,2
abbottabad,0,0,1
abbreviate,0,0,1
abbreviation,1,0,0
abby,0,1,5
abc,10,20,48
abcchicago,0,0,1
abceyewitness,0,0,1
abco,0,1,0
abd,0,1,0
abdc,0,1,0
abdel,0,1,0
abduct,1,0,1
abduction,0,1,0
abdul,2,1,1
abdulhamid,0,0,1
abdullah,3,0,1
abe,0,0,1
abebti,0,0,1
abeg,0,1,0
abel,2,1,1
abelardo,0,1,0
abercrombie,0,1,0
aberdeen,0,2,1
abet,0,0,1
abetz,0,0,1
abhi,0,0,1
abhiyaan,0,1,0
abhiyan,0,0,1
abhorrence,0,1,0
abi,0,0,2
abid,0,0,1
abide,2,0,0
abigail,0,1,1
abigayle,0,1,0
ability,2,9,5
abit,0,0,2
abj,1,3,4
abl,0,0,2
ablaz,0,0,1
ablazin,0,0,1
able,32,57,69
abledorfenheim,0,1,0
ablett,0,4,5
abnormal,0,0,2
aboard,0,3,2
abod,0,1,0
abolish,1,0,2
abolition,0,0,1
abominable,0,0,1
abomination,1,0,0
aboriginal,0,1,1
abort,2,0,1
aborted,1,0,0
abortion,7,1,6
abortionist,1,0,0
abortions,1,0,0
aborts,1,0,0
abosheshey,0,0,1
abou,1,0,5
aboud,1,0,1
abound,0,1,0
abouttime,0,1,0
abouut,0,0,1
abp,2,0,0
abraham,0,2,3
abrahamic,1,0,0
abramovich,0,6,4
abreu,0,1,6
abrupt,2,0,1
abruptly,0,0,2
abs,1,9,8
absapremiership,0,1,0
absar,1,0,0
abscond,1,0,1
abseil,0,1,1
absence,1,2,9
absent,2,2,4
absentia,0,1,0
absolute,7,13,7
absolutely,23,43,13
abstain,0,1,1
absurd,3,0,1
absurdity,0,0,1
absurdly,0,0,1
abt,8,6,17
abtch,0,0,1
abu,0,1,11
abubakar,1,0,2
abuja,1,3,5
abuse,7,2,13
abuseofpower,1,0,0
abuser,1,0,1
abusers,2,0,0
abusive,0,1,1
abuzeid,1,0,0
abuzz,0,0,1
abv,0,0,1
abysmal,1,0,2
abyss,0,0,1
ac,9,87,44
aca,1,0,0
acad,0,1,0
academic,3,2,0
academy,3,13,18
acadian,0,0,1
acapella,0,1,0
acc,7,6,7
acca,0,2,0
accelerate,1,2,0
accent,3,7,2
accept,14,21,39
acceptable,2,3,3
acceptance,0,3,5
acceptation,0,0,1
acceptd,1,0,0
access,5,6,25
accessible,0,0,1
accessories,0,0,1
accessory,2,6,7
accgaccsports,0,0,1
accident,16,4,6
accidental,1,1,1
accidentally,6,3,3
accidentgood,1,0,0
accidently,0,2,0
acclaim,0,1,2
acclaimed,0,0,1
accolade,1,1,0
accommodate,0,1,2
accommodation,0,1,1
accompaniment,0,1,1
